"Site_ID","Percent_Bleaching","Temperature_Mean","Turbidity","Cyclone_Frequency","Ecoregion_Name","Distance_to_Shore"
1340,"30.8","299.83","0.0444",54.14,"Bahamas and Florida Keys","1228.21"
9265,"31","299.72","0.0401",52.89,"Bahamas and Florida Keys","1188.98"
1340,"31.3","299.83","0.0444",54.14,"Bahamas and Florida Keys","1228.21"
8918,"31.3","299.82","0.1203",58.42,"Bahamas and Florida Keys","8306.48"
9118,"31.6","299.83","0.0971",58.42,"Bahamas and Florida Keys","7448.72"
8919,"31.7","299.84","0.0527",62.54,"Bahamas and Florida Keys","9425.11"
8497,"31.8","300.11","0.0362",53.57,"Bahamas and Florida Keys","248.69"
8920,"31.9","299.85","0.1047",56.55,"Bahamas and Florida Keys","10554.27"
8843,"32","299.79","0.1110",60.12,"Bahamas and Florida Keys","2573.48"
9119,"32.1","299.9","0.0577",57.05,"Bahamas and Florida Keys","10055.68"
8854,"32.3","299.9","0.0527",60.51,"Bahamas and Florida Keys","9953.16"
8829,"32.5","299.78","0.1836",60.12,"Bahamas and Florida Keys","1490.84"
9120,"32.7","299.84","0.0571",56.58,"Bahamas and Florida Keys","9147.45"
1214,"33","299.89","0.0444",51.43,"Bahamas and Florida Keys","426.09"
1331,"33.3","299.83","0.0392",51.1,"Bahamas and Florida Keys","113.05"
1333,"33.3","299.82","0.0423",51.1,"Bahamas and Florida Keys","76.94"
1333,"33.3","299.82","0.0423",51.1,"Bahamas and Florida Keys","76.94"
1339,"33.3","299.83","0.0444",54.14,"Bahamas and Florida Keys","213.84"
8921,"33.3","299.66","0.0447",52.57,"Bahamas and Florida Keys","804.79"
8922,"33.3","299.66","0.0439",52.57,"Bahamas and Florida Keys","1558.1"
8923,"33.3","298.87","0.1064",57.69,"Bahamas and Florida Keys","1058.92"
8923,"33.3","298.87","0.1064",57.69,"Bahamas and Florida Keys","1058.92"
9121,"33.3","299.82","0.0971",58.42,"Bahamas and Florida Keys","7214.91"
9122,"33.3","299.87","0.0502",57.93,"Bahamas and Florida Keys","7458.51"
9123,"33.3","299.75","0.0609",51.35,"Bahamas and Florida Keys","1221.87"
9195,"33.3","299.73","0.1636",58.01,"Bahamas and Florida Keys","3084.52"
8924,"33.7","299.75","0.1550",54.86,"Bahamas and Florida Keys","5916.15"
1224,"34","299.83","0.0441",51.43,"Bahamas and Florida Keys","56.92"
8925,"34","299.74","0.1769",56.55,"Bahamas and Florida Keys","5368.61"
8926,"34","299.85","0.1536",57.93,"Bahamas and Florida Keys","8758.72"
8566,"34.1","299.84","0.0571",56.58,"Bahamas and Florida Keys","9184.33"
9064,"34.6","299.84","0.1005",60.51,"Bahamas and Florida Keys","6997.86"
9063,"35","299.84","0.0527",60.51,"Bahamas and Florida Keys","8908.58"
9065,"35","299.7","0.1705",62.25,"Bahamas and Florida Keys","78.28"
9065,"35","299.7","0.1705",62.25,"Bahamas and Florida Keys","78.28"
9066,"35","299.81","0.1005",60.51,"Bahamas and Florida Keys","6631.33"
8927,"35.4","nd","0.3080",55.84,"Bahamas and Florida Keys","1263.45"
8843,"35.7","299.79","0.1110",60.12,"Bahamas and Florida Keys","2573.48"
8928,"35.7","299.82","0.043",63.75,"Bahamas and Florida Keys","2137.42"
9070,"35.9","299.78","0.1327",56.21,"Bahamas and Florida Keys","5791.13"
8580,"36","299.77","0.0442",54.65,"Bahamas and Florida Keys","1476.83"
8929,"36","299.75","0.0818",57.28,"Bahamas and Florida Keys","7278.41"
8930,"36.4","299.85","0.1420",58.42,"Bahamas and Florida Keys","6910.62"
9071,"36.6","299.8","0.0571",56.58,"Bahamas and Florida Keys","8146.24"
8931,"36.8","299.81","0.0482",56.89,"Bahamas and Florida Keys","10012.15"
8642,"37.3","299.75","0.0453",54.65,"Bahamas and Florida Keys","2029.08"
9275,"37.3","299.63","0.0523",68.4,"Bahamas and Florida Keys","1674.85"
8932,"37.5","299.88","0.0911",57.81,"Bahamas and Florida Keys","8257.23"
9072,"37.5","299.79","0.1446",62.54,"Bahamas and Florida Keys","5853.76"
8933,"37.8","299.72","0.0684",33.22,"Bahamas and Florida Keys","3094.28"
8934,"39.6","299.88","0.0911",57.81,"Bahamas and Florida Keys","8008.08"
8935,"40","299.94","0.0482",56.89,"Bahamas and Florida Keys","9388.83"
8936,"40","299.83","0.0845",58.01,"Bahamas and Florida Keys","7303.55"
9073,"40","299.87","0.0794",58.42,"Bahamas and Florida Keys","10087.98"
1333,"40.6","299.82","0.0423",51.1,"Bahamas and Florida Keys","76.94"
1333,"40.7","299.82","0.0423",51.1,"Bahamas and Florida Keys","76.94"
1322,"41.1","299.82","0.0444",54.14,"Bahamas and Florida Keys","224.87"
8937,"41.1","299.87","0.0794",58.42,"Bahamas and Florida Keys","9964.84"
8498,"41.2","300.11","0.0362",53.57,"Bahamas and Florida Keys","163.14"
1341,"41.7","299.83","0.0401",51.1,"Bahamas and Florida Keys","373.08"
9125,"42.1","299.74","0.0459",56.97,"Bahamas and Florida Keys","1298.43"
8938,"42.3","299.80","0.0442",54.65,"Bahamas and Florida Keys","1926.36"
1335,"42.4","299.82","0.0423",51.1,"Bahamas and Florida Keys","177.68"
1333,"42.9","299.82","0.0423",51.1,"Bahamas and Florida Keys","76.94"
9137,"42.9","299.89","0.0794",60.12,"Bahamas and Florida Keys","6534.37"
9138,"43.6","299.83","0.0727",53.15,"Bahamas and Florida Keys","8594.43"
8849,"43.8","299.81","0.1066",52.58,"Bahamas and Florida Keys","5590.73"
9139,"43.9","299.85","0.0562",56.55,"Bahamas and Florida Keys","10088.47"
9140,"44.2","299.87","0.1387",62.59,"Bahamas and Florida Keys","6526.4"
1331,"44.4","299.83","0.0392",51.1,"Bahamas and Florida Keys","113.05"
9141,"45.1","299.85","0.0532",58.42,"Bahamas and Florida Keys","8119.6"
1340,"45.5","299.83","0.0444",54.14,"Bahamas and Florida Keys","1228.21"
8850,"46","299.97","0.0547",58.01,"Bahamas and Florida Keys","7498.28"
8939,"46.2","299.76","0.0616",41.6,"Bahamas and Florida Keys","2683.44"
9142,"46.4","299.88","0.0644",62.59,"Bahamas and Florida Keys","6526.24"
8940,"46.8","299.94","0.0482",56.89,"Bahamas and Florida Keys","9573.91"
9143,"47.4","299.76","0.0608",57.28,"Bahamas and Florida Keys","4678.1"
1339,"47.6","299.83","0.0444",54.14,"Bahamas and Florida Keys","213.84"
9144,"47.6","299.75","0.1584",58.42,"Bahamas and Florida Keys","4546.43"
9145,"48.2","299.85","0.1210",57.81,"Bahamas and Florida Keys","8398.1"
8854,"48.3","299.9","0.0527",60.51,"Bahamas and Florida Keys","9953.16"
1331,"48.8","299.83","0.0392",51.1,"Bahamas and Florida Keys","113.05"
8941,"49","299.85","0.0999",57.13,"Bahamas and Florida Keys","8969.33"
9146,"49.2","299.85","0.1420",58.42,"Bahamas and Florida Keys","7177.92"
1212,"30.5","299.82","0.0423",51.1,"Bahamas and Florida Keys","83.18"
1213,"30.5","299.83","0.0392",51.1,"Bahamas and Florida Keys","271.85"
1216,"30.5","299.91","0.0429",57.47,"Bahamas and Florida Keys","4475.85"
1216,"30.5","299.91","0.0429",57.47,"Bahamas and Florida Keys","4475.85"
1281,"30.5","299.81","0.0253",56.84,"Bahamas and Florida Keys","22985.24"
1322,"30.5","299.82","0.0444",54.14,"Bahamas and Florida Keys","224.87"
1324,"30.5","299.54","0.1229",84.24,"Bahamas and Florida Keys","3614.43"
1336,"30.5","299.77","0.0263",48.13,"Bahamas and Florida Keys","1834.62"
1337,"30.5","299.75","0.0491",55.63,"Bahamas and Florida Keys","1416.63"
1338,"30.5","299.56","0.0503",60.78,"Bahamas and Florida Keys","1669.14"
8671,"30.5","299.65","0.2124",59.52,"Bahamas and Florida Keys","2905.8"
8672,"30.5","299.84","0.1244",57.05,"Bahamas and Florida Keys","6000.1"
8673,"30.5","299.82","0.1244",57.05,"Bahamas and Florida Keys","5972.86"
8942,"30.5","299.64","0.1624",56.21,"Bahamas and Florida Keys","1755.31"
8943,"30.5","300.01","0.0385",59.24,"Bahamas and Florida Keys","21473.9"
8944,"30.5","299.83","0.0816",58.42,"Bahamas and Florida Keys","6088.71"
8945,"30.5","299.83","0.0545",55.37,"Bahamas and Florida Keys","7789.86"
8946,"30.5","299.83","0.0727",53.15,"Bahamas and Florida Keys","7086.43"
8947,"30.5","299.76","0.2360",59.52,"Bahamas and Florida Keys","489.56"
9150,"30.5","299.8","0.1210",57.81,"Bahamas and Florida Keys","4530.07"
9151,"30.5","299.37","0.071",51.47,"Bahamas and Florida Keys","160.64"
9152,"30.5","299.34","0.0847",71.57,"Bahamas and Florida Keys","455.88"
9153,"30.5","299.31","0.1219",47.43,"Bahamas and Florida Keys","9307.28"
9154,"30.5","299.82","0.043",63.75,"Bahamas and Florida Keys","2387.21"
9292,"30.5","299.78","0.0411",56.63,"Bahamas and Florida Keys","534.54"
9293,"30.5","299.5","0.4222",56.37,"Bahamas and Florida Keys","5325.37"
9294,"30.5","nd","nd",53.5,"Bahamas and Florida Keys","16310.82"
8469,"0.77","300.17","0.0539",57.89,"Bahamas and Florida Keys","293.95"
8470,"0.8","299.85","0.0377",65.96,"Bahamas and Florida Keys","1783.1"
8998,"0.8","299.73","0.1805",48.9,"Bahamas and Florida Keys","1009.89"
1217,"0.83","299.82","0.0293",57.37,"Bahamas and Florida Keys","5535.2"
8689,"0.90","299.66","0.1441",48.9,"Bahamas and Florida Keys","1758.85"
8471,"0.92","299.95","0.0399",65.96,"Bahamas and Florida Keys","2287.75"
8472,"0.99","299.85","0.0377",65.96,"Bahamas and Florida Keys","1966.17"
8999,"1","299.83","0.0932",57.93,"Bahamas and Florida Keys","4492.8"
9219,"1","299.72","0.0447",52.57,"Bahamas and Florida Keys","247.44"
1241,"1.01","299.68","0.0484",71.67,"Bahamas and Florida Keys","2246"
